Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
11/15/2018 08:25:00 AM,11/15/2018 09:05:00 AM,Brooklyn,Prospect Park,"Prospect Park Peninsula 40.656321, -73.967597",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1642034450,ACC,1,false,false,,,false,false,47324
11/14/2018 01:30:00 PM,11/14/2018 01:30:00 PM,Manhattan,Hudson Yards entrance to Highline Park,Not far from the Hudson Yards Entrance to Highline Park,Red-tailed Hawk,Public,Native,Injured,4,Juvenile,Raptors,1-1-1644036070,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
11/14/2018 10:15:00 AM,11/14/2018 11:45:00 AM,Brooklyn,Prospect Park,"Inside the Tennis Center, at the Parade Grounds",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1639509340,ACC,1,false,false,,,false,false,47261
11/14/2018 10:00:00 AM,11/14/2018 10:10:00 AM,Brooklyn,Brooklyn Bridge Park,330 Furman street,Cooper's Hawk,Employee,Native,Injured,2,Adult,Raptors,1-1-1634509350,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
11/14/2018 12:30:00 PM,11/14/2018 12:45:00 PM,Brooklyn,Marine Park,Near Gerritsen Avenue and Bartlett Street intersection,Mute Swan,Public,Invasive,DOA,0.25,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
11/14/2018 12:00:00 PM,11/14/2018 12:27:00 PM,Queens,Alley Pond Park,"40.742848,-73.748945 Near ball field 6",Raccoon,Employee,Native,Unhealthy,2.75,Juvenile,Small Mammals-RVS,1-1-1644540981,ACC,1,false,false,,,false,false,47267
11/13/2018 03:45:00 PM,11/13/2018 03:45:00 PM,Manhattan,Mercer Playground,Mercer st & Bleeker st,Bat (Unknown),Central,Native,N/A,2,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
11/13/2018 01:45:00 PM,11/13/2018 02:00:00 PM,Manhattan,Sherman Creek,On metal pier near Peter Jay Sharp Boathouse,Herring Gull,Other,Native,Unhealthy,1,Adult,Birds,1-1-1644144970,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
11/13/2018 01:30:00 AM,11/13/2018 01:45:00 PM,Brooklyn,Prospect Park,"9th Street & West Drive 40.663980,-73.974195",Raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,2,Juvenile,Small Mammals-RVS,1-1-1641115420,ACC,1,false,false,,,false,false,47195
11/13/2018 10:00:00 AM,11/13/2018 12:00:00 PM,Manhattan,Central Park,"Harlem Meer 40.796060, -73.951827",Double-crested Cormorant,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Adult,Birds,,Monitored Animal,1,false,false,,,false,false,
